geoid,geographic_area_name,estimated_population,Margin of Error!!Total
250010115005,"Block Group 5, Census Tract 115, Barnstable County, Massachusetts",783,229
250010116001,"Block Group 1, Census Tract 116, Barnstable County, Massachusetts",1810,414
250010116002,"Block Group 2, Census Tract 116, Barnstable County, Massachusetts",619,228
250010116003,"Block Group 3, Census Tract 116, Barnstable County, Massachusetts",572,182
250010117001,"Block Group 1, Census Tract 117, Barnstable County, Massachusetts",790,146
250010117002,"Block Group 2, Census Tract 117, Barnstable County, Massachusetts",444,125
250010117003,"Block Group 3, Census Tract 117, Barnstable County, Massachusetts",638,137
250010118011,"Block Group 1, Census Tract 118.01, Barnstable County, Massachusetts",1379,146
250010118012,"Block Group 2, Census Tract 118.01, Barnstable County, Massachusetts",932,154
250010118021,"Block Group 1, Census Tract 118.02, Barnstable County, Massachusetts",818,210
250010118022,"Block Group 2, Census Tract 118.02, Barnstable County, Massachusetts",613,222
250010118023,"Block Group 3, Census Tract 118.02, Barnstable County, Massachusetts",1232,423
250010118024,"Block Group 4, Census Tract 118.02, Barnstable County, Massachusetts",1499,388
250010120011,"Block Group 1, Census Tract 120.01, Barnstable County, Massachusetts",1756,406
250010120012,"Block Group 2, Census Tract 120.01, Barnstable County, Massachusetts",1556,488
250010120013,"Block Group 3, Census Tract 120.01, Barnstable County, Massachusetts",1172,391
250010120014,"Block Group 4, Census Tract 120.01, Barnstable County, Massachusetts",1221,273
250010120021,"Block Group 1, Census Tract 120.02, Barnstable County, Massachusetts",1232,293
250010120022,"Block Group 2, Census Tract 120.02, Barnstable County, Massachusetts",798,188
250010120023,"Block Group 3, Census Tract 120.02, Barnstable County, Massachusetts",613,271
250010121011,"Block Group 1, Census Tract 121.01, Barnstable County, Massachusetts",1567,459
250010121012,"Block Group 2, Census Tract 121.01, Barnstable County, Massachusetts",1128,475
250010121013,"Block Group 3, Census Tract 121.01, Barnstable County, Massachusetts",879,254
250010121014,"Block Group 4, Census Tract 121.01, Barnstable County, Massachusetts",1103,446
250010121015,"Block Group 5, Census Tract 121.01, Barnstable County, Massachusetts",775,305
250010121021,"Block Group 1, Census Tract 121.02, Barnstable County, Massachusetts",778,237
250010121022,"Block Group 2, Census Tract 121.02, Barnstable County, Massachusetts",842,245
250010121023,"Block Group 3, Census Tract 121.02, Barnstable County, Massachusetts",664,221
250010121024,"Block Group 4, Census Tract 121.02, Barnstable County, Massachusetts",781,183
250010122001,"Block Group 1, Census Tract 122, Barnstable County, Massachusetts",1359,335
250010122002,"Block Group 2, Census Tract 122, Barnstable County, Massachusetts",699,263
250010122003,"Block Group 3, Census Tract 122, Barnstable County, Massachusetts",1847,374
250010122004,"Block Group 4, Census Tract 122, Barnstable County, Massachusetts",620,288
250010125021,"Block Group 1, Census Tract 125.02, Barnstable County, Massachusetts",699,235
250010125022,"Block Group 2, Census Tract 125.02, Barnstable County, Massachusetts",995,362
250010125023,"Block Group 3, Census Tract 125.02, Barnstable County, Massachusetts",930,316
250010125024,"Block Group 4, Census Tract 125.02, Barnstable County, Massachusetts",1112,502
250010126011,"Block Group 1, Census Tract 126.01, Barnstable County, Massachusetts",2309,384
250010126012,"Block Group 2, Census Tract 126.01, Barnstable County, Massachusetts",1047,245
250010126021,"Block Group 1, Census Tract 126.02, Barnstable County, Massachusetts",1607,385
250010126022,"Block Group 2, Census Tract 126.02, Barnstable County, Massachusetts",1232,542
250010126023,"Block Group 3, Census Tract 126.02, Barnstable County, Massachusetts",1207,469
250010126024,"Block Group 4, Census Tract 126.02, Barnstable County, Massachusetts",1009,351
250010127001,"Block Group 1, Census Tract 127, Barnstable County, Massachusetts",1353,294
250010127002,"Block Group 2, Census Tract 127, Barnstable County, Massachusetts",975,286
250010127003,"Block Group 3, Census Tract 127, Barnstable County, Massachusetts",788,253
250010127004,"Block Group 4, Census Tract 127, Barnstable County, Massachusetts",1124,338
250010128001,"Block Group 1, Census Tract 128, Barnstable County, Massachusetts",645,159
250010128002,"Block Group 2, Census Tract 128, Barnstable County, Massachusetts",1498,358
250010128003,"Block Group 3, Census Tract 128, Barnstable County, Massachusetts",1734,294
250010129001,"Block Group 1, Census Tract 129, Barnstable County, Massachusetts",1118,201
250010129002,"Block Group 2, Census Tract 129, Barnstable County, Massachusetts",1168,175
250010129003,"Block Group 3, Census Tract 129, Barnstable County, Massachusetts",1622,226
250010130021,"Block Group 1, Census Tract 130.02, Barnstable County, Massachusetts",455,126
250010130022,"Block Group 2, Census Tract 130.02, Barnstable County, Massachusetts",402,143
250010130023,"Block Group 3, Census Tract 130.02, Barnstable County, Massachusetts",836,194
250010130024,"Block Group 4, Census Tract 130.02, Barnstable County, Massachusetts",977,203
250010131001,"Block Group 1, Census Tract 131, Barnstable County, Massachusetts",1017,369
250010131002,"Block Group 2, Census Tract 131, Barnstable County, Massachusetts",2067,389
250010131003,"Block Group 3, Census Tract 131, Barnstable County, Massachusetts",717,174
250010131004,"Block Group 4, Census Tract 131, Barnstable County, Massachusetts",1394,372
250010132001,"Block Group 1, Census Tract 132, Barnstable County, Massachusetts",906,263
250010132002,"Block Group 2, Census Tract 132, Barnstable County, Massachusetts",2673,368
250010132003,"Block Group 3, Census Tract 132, Barnstable County, Massachusetts",968,185
250010133001,"Block Group 1, Census Tract 133, Barnstable County, Massachusetts",889,296
250010133002,"Block Group 2, Census Tract 133, Barnstable County, Massachusetts",893,217
250010133003,"Block Group 3, Census Tract 133, Barnstable County, Massachusetts",1383,292
250010134001,"Block Group 1, Census Tract 134, Barnstable County, Massachusetts",845,262
250010134002,"Block Group 2, Census Tract 134, Barnstable County, Massachusetts",690,160
250010134003,"Block Group 3, Census Tract 134, Barnstable County, Massachusetts",1506,285
250010134004,"Block Group 4, Census Tract 134, Barnstable County, Massachusetts",722,206
250010135001,"Block Group 1, Census Tract 135, Barnstable County, Massachusetts",2154,474
250010135002,"Block Group 2, Census Tract 135, Barnstable County, Massachusetts",1420,423
250010135003,"Block Group 3, Census Tract 135, Barnstable County, Massachusetts",2947,490
250010135004,"Block Group 4, Census Tract 135, Barnstable County, Massachusetts",721,212
250010136001,"Block Group 1, Census Tract 136, Barnstable County, Massachusetts",2692,523
250010136002,"Block Group 2, Census Tract 136, Barnstable County, Massachusetts",2713,397
250010136003,"Block Group 3, Census Tract 136, Barnstable County, Massachusetts",694,175
250010137001,"Block Group 1, Census Tract 137, Barnstable County, Massachusetts",1345,194
250010137002,"Block Group 2, Census Tract 137, Barnstable County, Massachusetts",946,218
250010137003,"Block Group 3, Census Tract 137, Barnstable County, Massachusetts",923,206
250010137004,"Block Group 4, Census Tract 137, Barnstable County, Massachusetts",1414,402
250010138001,"Block Group 1, Census Tract 138, Barnstable County, Massachusetts",2933,393
250010138002,"Block Group 2, Census Tract 138, Barnstable County, Massachusetts",1354,263
250010138003,"Block Group 3, Census Tract 138, Barnstable County, Massachusetts",861,403
250010139001,"Block Group 1, Census Tract 139, Barnstable County, Massachusetts",695,280
250010139002,"Block Group 2, Census Tract 139, Barnstable County, Massachusetts",1292,438
250010139003,"Block Group 3, Census Tract 139, Barnstable County, Massachusetts",1835,521
250010139004,"Block Group 4, Census Tract 139, Barnstable County, Massachusetts",910,323
250010140021,"Block Group 1, Census Tract 140.02, Barnstable County, Massachusetts",742,216
250010140022,"Block Group 2, Census Tract 140.02, Barnstable County, Massachusetts",2116,276
250010140023,"Block Group 3, Census Tract 140.02, Barnstable County, Massachusetts",774,241
250010140024,"Block Group 4, Census Tract 140.02, Barnstable County, Massachusetts",759,407
250010141001,"Block Group 1, Census Tract 141, Barnstable County, Massachusetts",949,175
250010143001,"Block Group 1, Census Tract 143, Barnstable County, Massachusetts",834,296
250010143002,"Block Group 2, Census Tract 143, Barnstable County, Massachusetts",626,234
250010143003,"Block Group 3, Census Tract 143, Barnstable County, Massachusetts",965,484
250010143004,"Block Group 4, Census Tract 143, Barnstable County, Massachusetts",724,214
250010143005,"Block Group 5, Census Tract 143, Barnstable County, Massachusetts",800,270
250010144021,"Block Group 1, Census Tract 144.02, Barnstable County, Massachusetts",2017,508
250010144022,"Block Group 2, Census Tract 144.02, Barnstable County, Massachusetts",2788,619
250010144023,"Block Group 3, Census Tract 144.02, Barnstable County, Massachusetts",2270,468
250010145001,"Block Group 1, Census Tract 145, Barnstable County, Massachusetts",1517,406
250010145002,"Block Group 2, Census Tract 145, Barnstable County, Massachusetts",2265,642
250010145003,"Block Group 3, Census Tract 145, Barnstable County, Massachusetts",1726,645
250010146001,"Block Group 1, Census Tract 146, Barnstable County, Massachusetts",1000,208
250010146002,"Block Group 2, Census Tract 146, Barnstable County, Massachusetts",1252,297
250010146003,"Block Group 3, Census Tract 146, Barnstable County, Massachusetts",585,203
250010146004,"Block Group 4, Census Tract 146, Barnstable County, Massachusetts",1470,254
250010147001,"Block Group 1, Census Tract 147, Barnstable County, Massachusetts",709,257
250010147002,"Block Group 2, Census Tract 147, Barnstable County, Massachusetts",1185,252
250010147003,"Block Group 3, Census Tract 147, Barnstable County, Massachusetts",1450,249
250010148001,"Block Group 1, Census Tract 148, Barnstable County, Massachusetts",811,196
250010148002,"Block Group 2, Census Tract 148, Barnstable County, Massachusetts",862,196
250010148003,"Block Group 3, Census Tract 148, Barnstable County, Massachusetts",1233,184
250010148004,"Block Group 4, Census Tract 148, Barnstable County, Massachusetts",461,168
250010149001,"Block Group 1, Census Tract 149, Barnstable County, Massachusetts",565,165
250010149002,"Block Group 2, Census Tract 149, Barnstable County, Massachusetts",893,169
250010149003,"Block Group 3, Census Tract 149, Barnstable County, Massachusetts",654,181
250010149004,"Block Group 4, Census Tract 149, Barnstable County, Massachusetts",1462,191
250010150011,"Block Group 1, Census Tract 150.01, Barnstable County, Massachusetts",2256,381
250010150012,"Block Group 2, Census Tract 150.01, Barnstable County, Massachusetts",2215,316
250010150021,"Block Group 1, Census Tract 150.02, Barnstable County, Massachusetts",2997,402
250010150022,"Block Group 2, Census Tract 150.02, Barnstable County, Massachusetts",825,214
250010151001,"Block Group 1, Census Tract 151, Barnstable County, Massachusetts",2236,339
250010151002,"Block Group 2, Census Tract 151, Barnstable County, Massachusetts",1636,392
250010152001,"Block Group 1, Census Tract 152, Barnstable County, Massachusetts",1204,276
250010152002,"Block Group 2, Census Tract 152, Barnstable County, Massachusetts",779,191
250010153001,"Block Group 1, Census Tract 153, Barnstable County, Massachusetts",1070,350
250010153002,"Block Group 2, Census Tract 153, Barnstable County, Massachusetts",1398,460
250010153003,"Block Group 3, Census Tract 153, Barnstable County, Massachusetts",829,253
250019900000,"Block Group 0, Census Tract 9900, Barnstable County, Massachusetts",0,12
250039001001,"Block Group 1, Census Tract 9001, Berkshire County, Massachusetts",724,172
250039001002,"Block Group 2, Census Tract 9001, Berkshire County, Massachusetts",1060,202
250039001003,"Block Group 3, Census Tract 9001, Berkshire County, Massachusetts",349,94
250039001004,"Block Group 4, Census Tract 9001, Berkshire County, Massachusetts",917,268
250039002001,"Block Group 1, Census Tract 9002, Berkshire County, Massachusetts",913,305
250039002002,"Block Group 2, Census Tract 9002, Berkshire County, Massachusetts",346,147
250039002003,"Block Group 3, Census Tract 9002, Berkshire County, Massachusetts",892,324
250039002004,"Block Group 4, Census Tract 9002, Berkshire County, Massachusetts",613,279
250039002005,"Block Group 5, Census Tract 9002, Berkshire County, Massachusetts",1275,609
250039002006,"Block Group 6, Census Tract 9002, Berkshire County, Massachusetts",509,205
250039003001,"Block Group 1, Census Tract 9003, Berkshire County, Massachusetts",815,205
250039003002,"Block Group 2, Census Tract 9003, Berkshire County, Massachusetts",682,228
250039003003,"Block Group 3, Census Tract 9003, Berkshire County, Massachusetts",1089,289
250039004001,"Block Group 1, Census Tract 9004, Berkshire County, Massachusetts",1080,321
250039004002,"Block Group 2, Census Tract 9004, Berkshire County, Massachusetts",1576,538
250039004003,"Block Group 3, Census Tract 9004, Berkshire County, Massachusetts",645,304
250039004004,"Block Group 4, Census Tract 9004, Berkshire County, Massachusetts",1086,384
250039004005,"Block Group 5, Census Tract 9004, Berkshire County, Massachusetts",683,334
250039005001,"Block Group 1, Census Tract 9005, Berkshire County, Massachusetts",1056,199
250039005002,"Block Group 2, Census Tract 9005, Berkshire County, Massachusetts",2235,287
250039006001,"Block Group 1, Census Tract 9006, Berkshire County, Massachusetts",473,187
250039006002,"Block Group 2, Census Tract 9006, Berkshire County, Massachusetts",893,363
250039006003,"Block Group 3, Census Tract 9006, Berkshire County, Massachusetts",489,147
250039006004,"Block Group 4, Census Tract 9006, Berkshire County, Massachusetts",633,242
250039006005,"Block Group 5, Census Tract 9006, Berkshire County, Massachusetts",622,209
250039007001,"Block Group 1, Census Tract 9007, Berkshire County, Massachusetts",458,140
250039007002,"Block Group 2, Census Tract 9007, Berkshire County, Massachusetts",721,181
250039007003,"Block Group 3, Census Tract 9007, Berkshire County, Massachusetts",660,190
250039007004,"Block Group 4, Census Tract 9007, Berkshire County, Massachusetts",982,247
250039008001,"Block Group 1, Census Tract 9008, Berkshire County, Massachusetts",1287,359
250039008002,"Block Group 2, Census Tract 9008, Berkshire County, Massachusetts",903,407
250039008003,"Block Group 3, Census Tract 9008, Berkshire County, Massachusetts",894,310
250039008004,"Block Group 4, Census Tract 9008, Berkshire County, Massachusetts",1263,274
250039008005,"Block Group 5, Census Tract 9008, Berkshire County, Massachusetts",613,204
250039009001,"Block Group 1, Census Tract 9009, Berkshire County, Massachusetts",846,337
250039009002,"Block Group 2, Census Tract 9009, Berkshire County, Massachusetts",1117,469
250039009003,"Block Group 3, Census Tract 9009, Berkshire County, Massachusetts",571,337
250039009004,"Block Group 4, Census Tract 9009, Berkshire County, Massachusetts",1747,484
250039009005,"Block Group 5, Census Tract 9009, Berkshire County, Massachusetts",565,234
250039011001,"Block Group 1, Census Tract 9011, Berkshire County, Massachusetts",460,123
250039011002,"Block Group 2, Census Tract 9011, Berkshire County, Massachusetts",648,183
250039011003,"Block Group 3, Census Tract 9011, Berkshire County, Massachusetts",1022,218
250039011004,"Block Group 4, Census Tract 9011, Berkshire County, Massachusetts",1505,240
250039111001,"Block Group 1, Census Tract 9111, Berkshire County, Massachusetts",1215,286
250039111002,"Block Group 2, Census Tract 9111, Berkshire County, Massachusetts",1058,290
250039111003,"Block Group 3, Census Tract 9111, Berkshire County, Massachusetts",700,189
250039121001,"Block Group 1, Census Tract 9121, Berkshire County, Massachusetts",1309,306
250039121002,"Block Group 2, Census Tract 9121, Berkshire County, Massachusetts",953,291
250039121003,"Block Group 3, Census Tract 9121, Berkshire County, Massachusetts",498,197
250039121004,"Block Group 4, Census Tract 9121, Berkshire County, Massachusetts",626,191
250039121005,"Block Group 5, Census Tract 9121, Berkshire County, Massachusetts",703,183
250039121006,"Block Group 6, Census Tract 9121, Berkshire County, Massachusetts",1157,245
250039121007,"Block Group 7, Census Tract 9121, Berkshire County, Massachusetts",1364,291
250039131001,"Block Group 1, Census Tract 9131, Berkshire County, Massachusetts",582,231
250039131002,"Block Group 2, Census Tract 9131, Berkshire County, Massachusetts",456,203
250039131003,"Block Group 3, Census Tract 9131, Berkshire County, Massachusetts",883,225
250039131004,"Block Group 4, Census Tract 9131, Berkshire County, Massachusetts",499,165
250039131005,"Block Group 5, Census Tract 9131, Berkshire County, Massachusetts",1380,339
250039131006,"Block Group 6, Census Tract 9131, Berkshire County, Massachusetts",557,180
250039131007,"Block Group 7, Census Tract 9131, Berkshire County, Massachusetts",606,238
250039141001,"Block Group 1, Census Tract 9141, Berkshire County, Massachusetts",1144,285
250039141002,"Block Group 2, Census Tract 9141, Berkshire County, Massachusetts",1028,401
250039141003,"Block Group 3, Census Tract 9141, Berkshire County, Massachusetts",689,235
250039141004,"Block Group 4, Census Tract 9141, Berkshire County, Massachusetts",972,312
250039141005,"Block Group 5, Census Tract 9141, Berkshire County, Massachusetts",1588,481
250039141006,"Block Group 6, Census Tract 9141, Berkshire County, Massachusetts",321,128
250039201011,"Block Group 1, Census Tract 9201.01, Berkshire County, Massachusetts",478,109
250039201012,"Block Group 2, Census Tract 9201.01, Berkshire County, Massachusetts",1212,199
250039201013,"Block Group 3, Census Tract 9201.01, Berkshire County, Massachusetts",2109,232
250039201014,"Block Group 4, Census Tract 9201.01, Berkshire County, Massachusetts",676,188
250039201021,"Block Group 1, Census Tract 9201.02, Berkshire County, Massachusetts",1137,156
250039201022,"Block Group 2, Census Tract 9201.02, Berkshire County, Massachusetts",1044,166
250039201023,"Block Group 3, Census Tract 9201.02, Berkshire County, Massachusetts",858,158
250039213001,"Block Group 1, Census Tract 9213, Berkshire County, Massachusetts",1141,225
250039213002,"Block Group 2, Census Tract 9213, Berkshire County, Massachusetts",2094,333
250039213003,"Block Group 3, Census Tract 9213, Berkshire County, Massachusetts",559,258
250039213004,"Block Group 4, Census Tract 9213, Berkshire County, Massachusetts",793,216
250039214001,"Block Group 1, Census Tract 9214, Berkshire County, Massachusetts",689,165
250039214002,"Block Group 2, Census Tract 9214, Berkshire County, Massachusetts",726,156
250039215001,"Block Group 1, Census Tract 9215, Berkshire County, Massachusetts",870,207
250039215002,"Block Group 2, Census Tract 9215, Berkshire County, Massachusetts",2007,218
250039221001,"Block Group 1, Census Tract 9221, Berkshire County, Massachusetts",685,144
250039221002,"Block Group 2, Census Tract 9221, Berkshire County, Massachusetts",655,154
250039221003,"Block Group 3, Census Tract 9221, Berkshire County, Massachusetts",695,205
250039221004,"Block Group 4, Census Tract 9221, Berkshire County, Massachusetts",421,145
250039222001,"Block Group 1, Census Tract 9222, Berkshire County, Massachusetts",475,195
250039222002,"Block Group 2, Census Tract 9222, Berkshire County, Massachusetts",750,212
250039222003,"Block Group 3, Census Tract 9222, Berkshire County, Massachusetts",1412,240
250039222004,"Block Group 4, Census Tract 9222, Berkshire County, Massachusetts",884,207
250039223001,"Block Group 1, Census Tract 9223, Berkshire County, Massachusetts",1028,221
250039223002,"Block Group 2, Census Tract 9223, Berkshire County, Massachusetts",1120,250
250039231001,"Block Group 1, Census Tract 9231, Berkshire County, Massachusetts",905,215
250039231002,"Block Group 2, Census Tract 9231, Berkshire County, Massachusetts",939,194
250039231003,"Block Group 3, Census Tract 9231, Berkshire County, Massachusetts",1315,229
250039241001,"Block Group 1, Census Tract 9241, Berkshire County, Massachusetts",666,147
250039241002,"Block Group 2, Census Tract 9241, Berkshire County, Massachusetts",682,287
250039241003,"Block Group 3, Census Tract 9241, Berkshire County, Massachusetts",447,139
250039251001,"Block Group 1, Census Tract 9251, Berkshire County, Massachusetts",300,234
250039251002,"Block Group 2, Census Tract 9251, Berkshire County, Massachusetts",2069,368
250039251003,"Block Group 3, Census Tract 9251, Berkshire County, Massachusetts",709,281
250039251004,"Block Group 4, Census Tract 9251, Berkshire County, Massachusetts",452,200
250039251005,"Block Group 5, Census Tract 9251, Berkshire County, Massachusetts",889,283
250039251006,"Block Group 6, Census Tract 9251, Berkshire County, Massachusetts",1392,399
250039251007,"Block Group 7, Census Tract 9251, Berkshire County, Massachusetts",1090,339
250039261001,"Block Group 1, Census Tract 9261, Berkshire County, Massachusetts",1182,249
250039261002,"Block Group 2, Census Tract 9261, Berkshire County, Massachusetts",326,140
250039261003,"Block Group 3, Census Tract 9261, Berkshire County, Massachusetts",615,218
250039261004,"Block Group 4, Census Tract 9261, Berkshire County, Massachusetts",1037,282
250039311001,"Block Group 1, Census Tract 9311, Berkshire County, Massachusetts",639,97
250039311002,"Block Group 2, Census Tract 9311, Berkshire County, Massachusetts",1138,135
250039313001,"Block Group 1, Census Tract 9313, Berkshire County, Massachusetts",808,120
250039313002,"Block Group 2, Census Tract 9313, Berkshire County, Massachusetts",680,94
250039314001,"Block Group 1, Census Tract 9314, Berkshire County, Massachusetts",862,106
250039314002,"Block Group 2, Census Tract 9314, Berkshire County, Massachusetts",823,100
250039322001,"Block Group 1, Census Tract 9322, Berkshire County, Massachusetts",502,75
250039322002,"Block Group 2, Census Tract 9322, Berkshire County, Massachusetts",1037,179
250039322003,"Block Group 3, Census Tract 9322, Berkshire County, Massachusetts",904,159
250039323001,"Block Group 1, Census Tract 9323, Berkshire County, Massachusetts",475,175
250039323002,"Block Group 2, Census Tract 9323, Berkshire County, Massachusetts",1362,179
250039332001,"Block Group 1, Census Tract 9332, Berkshire County, Massachusetts",474,119
250039332002,"Block Group 2, Census Tract 9332, Berkshire County, Massachusetts",774,143
250039333001,"Block Group 1, Census Tract 9333, Berkshire County, Massachusetts",938,206
250039333002,"Block Group 2, Census Tract 9333, Berkshire County, Massachusetts",606,106
250039334001,"Block Group 1, Census Tract 9334, Berkshire County, Massachusetts",786,110
250039334002,"Block Group 2, Census Tract 9334, Berkshire County, Massachusetts",607,168
250039334003,"Block Group 3, Census Tract 9334, Berkshire County, Massachusetts",891,125
250039342001,"Block Group 1, Census Tract 9342, Berkshire County, Massachusetts",519,103
250039342002,"Block Group 2, Census Tract 9342, Berkshire County, Massachusetts",565,106
250039343001,"Block Group 1, Census Tract 9343, Berkshire County, Massachusetts",431,81
250039343002,"Block Group 2, Census Tract 9343, Berkshire County, Massachusetts",1550,197
250039351001,"Block Group 1, Census Tract 9351, Berkshire County, Massachusetts",299,60
250039351002,"Block Group 2, Census Tract 9351, Berkshire County, Massachusetts",599,98
250039351003,"Block Group 3, Census Tract 9351, Berkshire County, Massachusetts",901,106
250039351004,"Block Group 4, Census Tract 9351, Berkshire County, Massachusetts",588,62
250039352001,"Block Group 1, Census Tract 9352, Berkshire County, Massachusetts",1256,258
250039352002,"Block Group 2, Census Tract 9352, Berkshire County, Massachusetts",1427,376
250039352003,"Block Group 3, Census Tract 9352, Berkshire County, Massachusetts",511,194
250039352004,"Block Group 4, Census Tract 9352, Berkshire County, Massachusetts",652,251
250039352005,"Block Group 5, Census Tract 9352, Berkshire County, Massachusetts",1003,321
250039353001,"Block Group 1, Census Tract 9353, Berkshire County, Massachusetts",878,225
250039353002,"Block Group 2, Census Tract 9353, Berkshire County, Massachusetts",1700,475
250039353003,"Block Group 3, Census Tract 9353, Berkshire County, Massachusetts",1038,217
250039353004,"Block Group 4, Census Tract 9353, Berkshire County, Massachusetts",464,200
250056001001,"Block Group 1, Census Tract 6001, Bristol County, Massachusetts",2218,348
250056001002,"Block Group 2, Census Tract 6001, Bristol County, Massachusetts",1818,230
250056002021,"Block Group 1, Census Tract 6002.02, Bristol County, Massachusetts",2869,309
250056002022,"Block Group 2, Census Tract 6002.02, Bristol County, Massachusetts",1173,247
250056002023,"Block Group 3, Census Tract 6002.02, Bristol County, Massachusetts",931,289
250056002031,"Block Group 1, Census Tract 6002.03, Bristol County, Massachusetts",1749,337
250056002032,"Block Group 2, Census Tract 6002.03, Bristol County, Massachusetts",1047,295
